UTC,Open,High,Low,Close,Volume
01.12.2025 10:00:00.000 UTC,1.1622,1.16285,1.16188,1.16274,4202.19
01.12.2025 11:00:00.000 UTC,1.16274,1.16321,1.16241,1.16277,5567.31
01.12.2025 12:00:00.000 UTC,1.16276,1.16488,1.16266,1.16487,5557.63
01.12.2025 13:00:00.000 UTC,1.16488,1.16522,1.16394,1.16448,6752.52
01.12.2025 14:00:00.000 UTC,1.16448,1.1645,1.163,1.16319,7978.01
01.12.2025 15:00:00.000 UTC,1.16326,1.16406,1.16226,1.16287,8907.95
01.12.2025 16:00:00.000 UTC,1.16289,1.16342,1.16208,1.16227,5154.19
01.12.2025 17:00:00.000 UTC,1.16226,1.16287,1.16178,1.16206,3226.03
01.12.2025 18:00:00.000 UTC,1.16206,1.16234,1.16116,1.16119,3386.04
01.12.2025 19:00:00.000 UTC,1.16117,1.16122,1.1607,1.16083,2510.58
01.12.2025 20:00:00.000 UTC,1.16085,1.161,1.16063,1.16092,1971.81
01.12.2025 21:00:00.000 UTC,1.16095,1.16108,1.16077,1.16092,927.36
01.12.2025 22:00:00.000 UTC,1.16089,1.16089,1.16066,1.16079,355.83
01.12.2025 23:00:00.000 UTC,1.16078,1.16101,1.16065,1.16066,484.82
02.12.2025 00:00:00.000 UTC,1.16069,1.16093,1.16037,1.16056,1617.65
02.12.2025 01:00:00.000 UTC,1.16055,1.1611,1.16037,1.16091,2243.97
02.12.2025 02:00:00.000 UTC,1.16089,1.1612,1.16085,1.16117,1377.38
02.12.2025 03:00:00.000 UTC,1.16118,1.16127,1.16087,1.1612,2180.73
02.12.2025 04:00:00.000 UTC,1.1612,1.1614,1.16088,1.16089,1301.05
02.12.2025 05:00:00.000 UTC,1.16088,1.1611,1.16069,1.16098,1249.83
02.12.2025 06:00:00.000 UTC,1.16099,1.16109,1.16047,1.16094,1671.92
02.12.2025 07:00:00.000 UTC,1.16094,1.16162,1.16085,1.16125,3629.82
02.12.2025 08:00:00.000 UTC,1.16125,1.16161,1.16089,1.16104,3792
02.12.2025 09:00:00.000 UTC,1.16105,1.1614,1.16024,1.16098,4751.3
02.12.2025 10:00:00.000 UTC,1.16099,1.16121,1.15983,1.16065,3783.28
02.12.2025 11:00:00.000 UTC,1.16065,1.16128,1.16034,1.16116,2905.06
02.12.2025 12:00:00.000 UTC,1.16117,1.16193,1.16072,1.16176,3285.42
02.12.2025 13:00:00.000 UTC,1.16177,1.16194,1.1611,1.16174,3264.29
02.12.2025 14:00:00.000 UTC,1.16175,1.1623,1.16131,1.16177,6104.79
02.12.2025 15:00:00.000 UTC,1.16178,1.16185,1.15932,1.16061,8719.38
02.12.2025 16:00:00.000 UTC,1.16061,1.16096,1.1591,1.15953,6950.26
02.12.2025 17:00:00.000 UTC,1.15952,1.16078,1.15928,1.16071,4033.28
02.12.2025 18:00:00.000 UTC,1.16071,1.16131,1.16056,1.16087,2401.53
02.12.2025 19:00:00.000 UTC,1.16088,1.16248,1.16086,1.16206,3078.07
02.12.2025 20:00:00.000 UTC,1.16204,1.16258,1.16196,1.16243,2895.86
02.12.2025 21:00:00.000 UTC,1.16243,1.16257,1.1621,1.16233,1518.2
02.12.2025 22:00:00.000 UTC,1.16233,1.16247,1.16204,1.16234,810.24
02.12.2025 23:00:00.000 UTC,1.16237,1.1629,1.16234,1.1628,519.11
03.12.2025 00:00:00.000 UTC,1.1628,1.16329,1.16277,1.16306,3440.82
03.12.2025 01:00:00.000 UTC,1.16306,1.16375,1.16304,1.16368,1686.72
03.12.2025 02:00:00.000 UTC,1.16369,1.16385,1.16353,1.1638,967.65
03.12.2025 03:00:00.000 UTC,1.16378,1.16389,1.16368,1.16376,770.58
03.12.2025 04:00:00.000 UTC,1.16378,1.16419,1.16361,1.1641,821.94
03.12.2025 05:00:00.000 UTC,1.16411,1.16436,1.16407,1.16426,1125.75
03.12.2025 06:00:00.000 UTC,1.16426,1.16477,1.16415,1.16429,1898.03
03.12.2025 07:00:00.000 UTC,1.16429,1.16526,1.16391,1.16412,5048.41
03.12.2025 08:00:00.000 UTC,1.16412,1.16455,1.16356,1.16438,5070.7
03.12.2025 09:00:00.000 UTC,1.16439,1.16478,1.16398,1.16455,5695.16
03.12.2025 10:00:00.000 UTC,1.16456,1.16636,1.16447,1.16605,4271.84
03.12.2025 11:00:00.000 UTC,1.16606,1.16657,1.16549,1.16655,2573.86
03.12.2025 12:00:00.000 UTC,1.16654,1.16694,1.16622,1.16628,3205.55
03.12.2025 13:00:00.000 UTC,1.16628,1.16752,1.16617,1.16662,6848.63
03.12.2025 14:00:00.000 UTC,1.16664,1.16669,1.16555,1.16623,10547.11
03.12.2025 15:00:00.000 UTC,1.16621,1.1668,1.16543,1.16595,15155.31
03.12.2025 16:00:00.000 UTC,1.16595,1.16662,1.16584,1.16594,9583.49
03.12.2025 17:00:00.000 UTC,1.16595,1.16707,1.16574,1.16684,6677.47
03.12.2025 18:00:00.000 UTC,1.16686,1.16755,1.16682,1.16717,4068.78
03.12.2025 19:00:00.000 UTC,1.16718,1.16775,1.1671,1.16727,1900.57
03.12.2025 20:00:00.000 UTC,1.16725,1.16728,1.16652,1.16654,1443.49
03.12.2025 21:00:00.000 UTC,1.16654,1.16717,1.16642,1.16706,1324.81
03.12.2025 22:00:00.000 UTC,1.16705,1.16743,1.16638,1.16702,637.6
03.12.2025 23:00:00.000 UTC,1.16702,1.16719,1.16633,1.16661,908.93
04.12.2025 00:00:00.000 UTC,1.16662,1.16673,1.16594,1.16627,1825.19
04.12.2025 01:00:00.000 UTC,1.16626,1.16647,1.16587,1.1663,2747.44
04.12.2025 02:00:00.000 UTC,1.1663,1.16639,1.1659,1.16602,1476.6
04.12.2025 03:00:00.000 UTC,1.16601,1.16601,1.16533,1.16558,1888.05
04.12.2025 04:00:00.000 UTC,1.16556,1.16583,1.16551,1.1657,1420.96
04.12.2025 05:00:00.000 UTC,1.16572,1.16619,1.16561,1.16594,3017.42
04.12.2025 06:00:00.000 UTC,1.16595,1.16597,1.16529,1.1658,2895.43
04.12.2025 07:00:00.000 UTC,1.16578,1.16652,1.16553,1.16652,2786.04
04.12.2025 08:00:00.000 UTC,1.16652,1.16819,1.16632,1.16767,7057.19
04.12.2025 09:00:00.000 UTC,1.16766,1.16802,1.16733,1.16773,4790.35
04.12.2025 10:00:00.000 UTC,1.16772,1.16797,1.16635,1.16664,3340.87
04.12.2025 11:00:00.000 UTC,1.16664,1.16804,1.16651,1.16802,4478.4
04.12.2025 12:00:00.000 UTC,1.16801,1.16808,1.16653,1.16699,4126.74
04.12.2025 13:00:00.000 UTC,1.167,1.16711,1.16517,1.16647,7331.01
04.12.2025 14:00:00.000 UTC,1.16647,1.16768,1.16642,1.167,6942.79
04.12.2025 15:00:00.000 UTC,1.16698,1.16746,1.16579,1.16731,5873.99
04.12.2025 16:00:00.000 UTC,1.16731,1.16734,1.16534,1.16587,4901.19
04.12.2025 17:00:00.000 UTC,1.16587,1.16597,1.16529,1.1656,2711.26
04.12.2025 18:00:00.000 UTC,1.16559,1.16597,1.16536,1.16543,2356.79
04.12.2025 19:00:00.000 UTC,1.16542,1.16555,1.165,1.16525,2452.42
04.12.2025 20:00:00.000 UTC,1.16524,1.16524,1.16411,1.1644,2500.38
04.12.2025 21:00:00.000 UTC,1.1644,1.16459,1.16409,1.1644,1502.22
04.12.2025 22:00:00.000 UTC,1.16439,1.16442,1.16414,1.16439,401.67
04.12.2025 23:00:00.000 UTC,1.16439,1.16447,1.16409,1.16431,686.11
05.12.2025 00:00:00.000 UTC,1.16433,1.16502,1.16433,1.16497,1794.96
05.12.2025 01:00:00.000 UTC,1.16498,1.16537,1.16495,1.16534,2015.74
05.12.2025 02:00:00.000 UTC,1.16534,1.16543,1.1651,1.16517,1669.91
05.12.2025 03:00:00.000 UTC,1.16516,1.16516,1.16462,1.16489,1025.89
05.12.2025 04:00:00.000 UTC,1.16489,1.1654,1.16486,1.16535,1977.63
05.12.2025 05:00:00.000 UTC,1.16534,1.1659,1.1653,1.1659,1616.9
05.12.2025 06:00:00.000 UTC,1.1659,1.16614,1.16551,1.1659,2107.37
05.12.2025 07:00:00.000 UTC,1.1659,1.16717,1.16584,1.16627,5010.57
05.12.2025 08:00:00.000 UTC,1.1663,1.1664,1.16521,1.16537,5049.87
05.12.2025 09:00:00.000 UTC,1.16535,1.16551,1.16481,1.16543,3779.79
05.12.2025 10:00:00.000 UTC,1.16545,1.16569,1.16476,1.16509,2825.06
05.12.2025 11:00:00.000 UTC,1.16509,1.16523,1.16415,1.16464,3274.01
05.12.2025 12:00:00.000 UTC,1.16464,1.16533,1.16435,1.16515,4154.16
05.12.2025 13:00:00.000 UTC,1.16521,1.16538,1.16433,1.16517,4264.49
05.12.2025 14:00:00.000 UTC,1.16518,1.166,1.16455,1.16498,6604.48
05.12.2025 15:00:00.000 UTC,1.16496,1.16588,1.16437,1.16481,7117.37
05.12.2025 16:00:00.000 UTC,1.16481,1.1649,1.16279,1.16341,7958.87
05.12.2025 17:00:00.000 UTC,1.1634,1.16441,1.16324,1.16441,3941.34
05.12.2025 18:00:00.000 UTC,1.16441,1.16485,1.1642,1.16425,2457.2
05.12.2025 19:00:00.000 UTC,1.16426,1.1644,1.16399,1.1643,2234.59
05.12.2025 20:00:00.000 UTC,1.16429,1.16445,1.16397,1.1644,2521.93
05.12.2025 21:00:00.000 UTC,1.16439,1.16471,1.16388,1.16388,1796.65
07.12.2025 22:00:00.000 UTC,1.16373,1.16451,1.16341,1.16446,721.44
07.12.2025 23:00:00.000 UTC,1.16446,1.16461,1.16391,1.16404,2630.95
08.12.2025 00:00:00.000 UTC,1.16406,1.16513,1.16394,1.16511,1849.09
08.12.2025 01:00:00.000 UTC,1.1651,1.16531,1.16455,1.16516,2545.15
08.12.2025 02:00:00.000 UTC,1.16518,1.16542,1.16487,1.16537,1457.99
08.12.2025 03:00:00.000 UTC,1.16538,1.16554,1.16498,1.165,1480.29
08.12.2025 04:00:00.000 UTC,1.16501,1.16553,1.16496,1.16543,1119.03
08.12.2025 05:00:00.000 UTC,1.16543,1.16562,1.16523,1.16559,1797.2
08.12.2025 06:00:00.000 UTC,1.16561,1.16718,1.16559,1.16605,3083.13
08.12.2025 07:00:00.000 UTC,1.16605,1.16678,1.16548,1.16579,3243.3
